Study,Topic,Party,N,Estimator,estimate,std.error,conf.low,conf.high
1,Undisputed accusation,Democrat,103,Difference,-0.01166268635952572,0.34929069959258,-0.6955569878093091,0.6729590350484902
1,Undisputed accusation,Republican,73,Experiment,-1.1927616050354053,0.3477623899242937,-1.851824534161491,-0.49841269841269886
1,Undisputed accusation,Republican,73,Guess,-1.125,0.18309582604305882,-1.4794520547945202,-0.7638888888888888
1,Undisputed accusation,Republican,73,Difference,-0.06776160503540529,0.2963200089875339,-0.6510143124551782,0.5122935727458076
2a,Obama Torture,Democrat,703,Experiment,0.8180478218146083,0.1385668048553144,0.5484431344375869,1.0843965656024626
2a,Obama Torture,Democrat,703,Guess,0.20803443328550947,0.052224262166278346,0.10488505747126423,0.30890804597701155
2a,Obama Torture,Democrat,703,Difference,0.6100133885290988,0.12720562278902695,0.3582371356942685,0.8553862720579052
2a,Obama Torture,Republican,693,Experiment,0.02001799370220425,0.12073697944295783,-0.2176416279365741,0.25860328596988724
2a,Obama Torture,Republican,693,Guess,0.039017341040462124,0.049543587730999164,-0.056439942112879296,0.1358381502890174
2a,Obama Torture,Republican,693,Difference,-0.018999347338257873,0.11138049663936167,-0.2369508323063242,0.19662104933339894
2a,Trump Coal,Democrat,703,Experiment,-0.8784956919719202,0.13326413426956696,-1.1360649787151236,-0.6147107563863411
2a,Trump Coal,Democrat,703,Guess,-0.22460658082975657,0.0523471966471107,-0.3290229885057465,-0.12355878642457856
2a,Trump Coal,Democrat,703,Difference,-0.6538891111421636,0.12623221452243147,-0.8993008976981984,-0.40937471117882407
2a,Trump Coal,Republican,693,Experiment,-0.16854101064627347,0.1043140201522924,-0.3728114571056388,0.03716078344643641
2a,Trump Coal,Republican,693,Guess,0,0.04558237463185332,-0.090909090909091,0.08802308802308802
2a,Trump Coal,Republican,693,Difference,-0.16854101064627347,0.09360322193173985,-0.3473770844196705,0.015029073254623377
