topic,Topic,Party,estimate,std.error,conf.low,conf.high,p.value,df
"Mueller
comments","Mueller
comments",All,-0.10476488048742359,0.03214178117289085,-0.16784328220977462,-0.041686478765072546,0.0011565338300841398,934.833118798031
"Mueller
comments","Mueller
comments",Democrat,-0.13359374999999965,0.045573118175613166,-0.22317624175184797,-0.044011258248151344,0.003560500188378626,415.6939573256732
"Mueller
comments","Mueller
comments",Independent,-0.12662381143698945,0.06482563789519782,-0.25435902139196487,0.0011113985179860009,0.05200984332890215,227.5761410932373
"Mueller
comments","Mueller
comments",Republican,-0.046212121212121114,0.05839081303515442,-0.1611393585275611,0.06871511610331887,0.42934613537031197,287.7713769579903
Pooled,Pooled,All,-0.09927086770759162,0.02443086819332483,-0.1472677648089789,-0.05127397060620435,5.595946781837946e-5,512.8331455086648
Pooled,Pooled,Democrat,-0.13458773122560586,0.031889717874394784,-0.19741286802314195,-0.07176259442806977,3.481331395497738e-5,235.81017761154433
Pooled,Pooled,Independent,-0.02232945821452077,0.0617769594550296,-0.1448493157892416,0.10019039936020005,0.7185012476136762,103.01210316604595
Pooled,Pooled,Republican,-0.0794545541462172,0.042790795547757554,-0.16392063777328586,0.0050115294808514566,0.06505742391937414,171.03427385337812
"Supports
charters","Supports
charters",All,-0.09111277072442124,0.06887039134203117,-0.22689795129556384,0.04467240984672134,0.18732261658989394,204.9806772347793
"Supports
charters","Supports
charters",Democrat,-0.07629204265791639,0.09941647394354756,-0.2736573675873151,0.12107328227148234,0.44474678541102797,95.0496502105413
"Supports
charters","Supports
charters",Independent,-0.05714285714285725,0.2024703530183782,-0.48011945919586657,0.365833744910152,0.7807353733807139,19.545243619489536
"Supports
charters","Supports
charters",Republican,-0.1437607820586541,0.1072371588577527,-0.3572781188472316,0.0697565547299234,0.18397427412772022,77.43466447533807
Tax cuts,"Tax Cuts &
Jobs Act",All,-0.2418947777130654,0.06803235185518494,-0.37604353239931626,-0.10774602302681452,4.7022544984174096e-4,200.98029652758458
Tax cuts,"Tax Cuts &
Jobs Act",Democrat,-0.27008547008547024,0.09859589680841462,-0.4658770846185869,-0.07429385555235354,0.007379959521667588,93.01067822593109
Tax cuts,"Tax Cuts &
Jobs Act",Independent,0.10000000000000002,0.2222474733128352,-0.36469667232757164,0.5646966723275717,0.6577628780996339,19.289855072463844
Tax cuts,"Tax Cuts &
Jobs Act",Republican,-0.29844738355376615,0.10506473929488484,-0.5076392678183148,-0.0892554992892175,0.005750959106182974,77.43466447533807
"Undisputed
accusation","Undisputed
accusation",All,-0.08043023034456498,0.060049741993248175,-0.19883150672851063,0.03797104603938069,0.1819404139318498,202.9804887379701
"Undisputed
accusation","Undisputed
accusation",Democrat,-0.1190775681341719,0.08590679492560882,-0.28966086615414277,0.05150572988579895,0.16900765517092617,93.43937950741471
"Undisputed
accusation","Undisputed
accusation",Independent,0.1076923076923077,0.18849206102040109,-0.28612621610308847,0.5015108314877039,0.5742945887606639,19.51229508196718
"Undisputed
accusation","Undisputed
accusation",Republican,-0.08165612420931562,0.09619785707010113,-0.2731933717936337,0.10988112337500244,0.3985895378604709,77.43466447533807
