study,topic,Topic,pid_3,format,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,category,Estimator,value,Party,Format,lab_outside
1,Death penalty,Death penalty,Republican,Counterfactual,(Intercept),-0.04878048780487805,0.0777050357174341,-0.6277648205743445,0.5337257474388255,-0.2058282231962542,0.10826724758649812,39.99999999999866,YC,  Diff,More-less,-0.04878048780487805,Republican,Counterfactual,-0.05 (0.08)
1,Disputed accusation,Disputed accusation,Democrat,Change,(Intercept),NA,0.046951599766681604,18.48551556528208,1.632188467920228e-24,NA,NA,52.00000000000322,(YC == -1),Less,More-less,0.8679245283018872,Democrat,Change,NA
1,Disputed accusation,Disputed accusation,Democrat,Change,(Intercept),NA,0.04393868070601047,2.5764894473566984,0.012859586155704598,NA,NA,52.00000000000322,(YC == 0), Same,More-less,0.11320754716981135,Democrat,Change,NA
1,Disputed accusation,Disputed accusation,Democrat,Change,(Intercept),NA,0.018867924528301886,1.0000000000000002,0.32194134817283376,NA,NA,52.00000000000322,(YC == 1), More,More-less,0.01886792452830189,Democrat,Change,NA
1,Disputed accusation,Disputed accusation,Democrat,Change,(Intercept),-0.8490566037735852,0.056482695855704056,-15.032154377734804,1.4365130714554498e-20,-0.9623974249537046,-0.7357157825934657,52.00000000000322,YC,  Diff,More-less,-0.8490566037735852,Democrat,Change,-0.85 (0.06)
1,Disputed accusation,Disputed accusation,Democrat,Change + level,(Intercept),NA,0.07195473383945744,8.761547002804525,2.7598546142597017e-11,NA,NA,44.999999999999766,(YC == -1),Less,More-less,0.6304347826086957,Democrat,Change + level,NA
1,Disputed accusation,Disputed accusation,Democrat,Change + level,(Intercept),NA,0.07099970268936748,4.898979485566357,1.2867571244053348e-5,NA,NA,44.999999999999766,(YC == 0), Same,More-less,0.34782608695652173,Democrat,Change + level,NA
1,Disputed accusation,Disputed accusation,Democrat,Change + level,(Intercept),NA,0.02173913043478261,0.9999999999999999,0.32265765224996146,NA,NA,44.999999999999766,(YC == 1), More,More-less,0.021739130434782608,Democrat,Change + level,NA
1,Disputed accusation,Disputed accusation,Democrat,Change + level,(Intercept),-0.6086956521739131,0.07911503805191988,-7.693804707196774,9.653657245583726e-10,-0.768041518425722,-0.4493497859221042,44.999999999999766,YC,  Diff,More-less,-0.6086956521739131,Democrat,Change + level,-0.61 (0.08)
1,Disputed accusation,Disputed accusation,Democrat,Counterfactual,(Intercept),NA,0.06151320742474892,3.3252282413607124,0.0018142069511426692,NA,NA,43.00000000000049,(YC == -1),Less,More-less,0.20454545454545456,Democrat,Counterfactual,NA
1,Disputed accusation,Disputed accusation,Democrat,Counterfactual,(Intercept),NA,0.0660338179744218,11.357816691600547,1.5765160131555906e-14,NA,NA,43.00000000000049,(YC == 0), Same,More-less,0.7500000000000002,Democrat,Counterfactual,NA
1,Disputed accusation,Disputed accusation,Democrat,Counterfactual,(Intercept),NA,0.031765283723714004,1.4309504001254014,0.15967222315908422,NA,NA,43.00000000000049,(YC == 1), More,More-less,0.045454545454545456,Democrat,Counterfactual,NA
1,Disputed accusation,Disputed accusation,Democrat,Counterfactual,(Intercept),-0.1590909090909091,0.07228658768525043,-2.2008357869044977,0.033165983158121366,-0.3048707065845517,-0.0133111115972665,43.00000000000049,YC,  Diff,More-less,-0.1590909090909091,Democrat,Counterfactual,-0.16 (0.07)
1,Disputed accusation,Disputed accusation,Republican,Change,(Intercept),NA,0.07150679219093489,3.401680257083045,0.0016541006131734462,NA,NA,35.99999999999888,(YC == -1),Less,More-less,0.24324324324324328,Republican,Change,NA
1,Disputed accusation,Disputed accusation,Republican,Change,(Intercept),NA,0.08256893144064577,6.873863542433759,4.807987422501147e-8,NA,NA,35.99999999999888,(YC == 0), Same,More-less,0.5675675675675675,Republican,Change,NA
1,Disputed accusation,Disputed accusation,Republican,Change,(Intercept),NA,0.06527647182968217,2.898275349237887,0.006351941055514335,NA,NA,35.99999999999888,(YC == 1), More,More-less,0.1891891891891892,Republican,Change,NA
1,Disputed accusation,Disputed accusation,Republican,Change,(Intercept),-0.05405405405405406,0.10922842930614542,-0.4948716593053935,0.6236976319828491,-0.2755795762663651,0.16747146815825695,35.99999999999888,YC,  Diff,More-less,-0.05405405405405406,Republican,Change,-0.05 (0.11)
1,Disputed accusation,Disputed accusation,Republican,Change + level,(Intercept),NA,0.0716734777251339,5.343381339370328,2.753960674884004e-6,NA,NA,45.99999999999854,(YC == -1),Less,More-less,0.3829787234042554,Republican,Change + level,NA
1,Disputed accusation,Disputed accusation,Republican,Change + level,(Intercept),NA,0.07357064625618348,7.229988054812212,4.122022839015251e-9,NA,NA,45.99999999999854,(YC == 0), Same,More-less,0.5319148936170214,Republican,Change + level,NA
1,Disputed accusation,Disputed accusation,Republican,Change + level,(Intercept),NA,0.041142194186747624,2.0685912519011236,0.044231977660239404,NA,NA,45.99999999999854,(YC == 1), More,More-less,0.0851063829787234,Republican,Change + level,NA
