Study,Topic,Party,Format,Y1?,N,category,estimate_pct,se_pct
1,"Supports
charters",Democrat,Change + level,Yes,46,Less,39.130434782608695,7.275304578557179
1,"Supports
charters",Democrat,Change + level,Yes,46,More,17.391304347826086,5.650315562208095
1,"Supports
charters",Democrat,Change + level,Yes,46,Same,43.47826086956522,7.389883353033023
1,"Supports
charters",Independent,Change,No,14,Diff,7.142857142857145,16.4560210240351
1,"Supports
charters",Independent,Change,No,14,Less,14.285714285714288,9.705231721239393
1,"Supports
charters",Independent,Change,No,14,More,21.42857142857143,11.38039295450988
1,"Supports
charters",Independent,Change,No,14,Same,64.28571428571429,13.289435848843764
1,"Supports
charters",Independent,Change + level,Yes,10,Diff,10,17.950549357115015
1,"Supports
charters",Independent,Change + level,Yes,10,Less,10,10
1,"Supports
charters",Independent,Change + level,Yes,10,More,20,13.333333333333336
1,"Supports
charters",Independent,Change + level,Yes,10,Same,70,15.275252316519468
1,"Supports
charters",Republican,Change,No,37,Diff,40.54054054054055,11.917798698489147
1,"Supports
charters",Republican,Change,No,37,Less,13.513513513513514,5.697797585888973
1,"Supports
charters",Republican,Change,No,37,More,54.054054054054056,8.30589590747107
1,"Supports
charters",Republican,Change,No,37,Same,32.432432432432435,7.802030664724674
1,"Supports
charters",Republican,Change + level,Yes,47,Diff,27.65957446808511,9.949980201438319
1,"Supports
charters",Republican,Change + level,Yes,47,Less,12.765957446808512,4.9202908961969305
1,"Supports
charters",Republican,Change + level,Yes,47,More,40.42553191489362,7.235674844413015
1,"Supports
charters",Republican,Change + level,Yes,47,Same,46.80851063829788,7.357064625618349
1,Tax cuts,Democrat,Change,No,52,Diff,-46.15384615384615,9.694246735578528
1,Tax cuts,Democrat,Change,No,52,Less,57.692307692307686,6.918047444081744
1,Tax cuts,Democrat,Change,No,52,More,11.538461538461538,4.473692292598459
1,Tax cuts,Democrat,Change,No,52,Same,30.769230769230766,6.462831157052353
1,Tax cuts,Democrat,Change + level,Yes,45,Diff,-24.44444444444444,9.076307015852631
1,Tax cuts,Democrat,Change + level,Yes,45,Less,33.333333333333336,7.106690545187015
1,Tax cuts,Democrat,Change + level,Yes,45,More,8.888888888888888,4.290254662948546
1,Tax cuts,Democrat,Change + level,Yes,45,Same,57.77777777777777,7.4460272702958035
1,Tax cuts,Independent,Change,No,12,Diff,16.66666666666667,20.719385350268706
1,Tax cuts,Independent,Change,No,12,Less,16.66666666666667,11.236664374387372
1,Tax cuts,Independent,Change,No,12,More,33.33333333333334,14.213381090374034
1,Tax cuts,Independent,Change,No,12,Same,50,15.075567228888184
1,Tax cuts,Independent,Change + level,Yes,10,Diff,-0,25.819888974716115
1,Tax cuts,Independent,Change + level,Yes,10,Less,30,15.275252316519467
1,Tax cuts,Independent,Change + level,Yes,10,More,29.999999999999993,15.275252316519468
1,Tax cuts,Independent,Change + level,Yes,10,Same,40,16.329931618554525
1,Tax cuts,Republican,Change,No,37,Diff,70.27027027027027,7.617808344724218
1,Tax cuts,Republican,Change,No,37,Less,-0,0
1,Tax cuts,Republican,Change,No,37,More,70.27027027027027,7.617808344724218
1,Tax cuts,Republican,Change,No,37,Same,29.729729729729726,7.617808344724218
1,Tax cuts,Republican,Change + level,Yes,47,Diff,19.14893617021277,8.939253245534161
1,Tax cuts,Republican,Change + level,Yes,47,Less,10.638297872340425,4.546036031565444
1,Tax cuts,Republican,Change + level,Yes,47,More,29.787234042553195,6.742861107915607
1,Tax cuts,Republican,Change + level,Yes,47,Same,59.57446808510639,7.235674844413015
1,"Undisputed
accusation",Democrat,Change,No,53,Diff,-79.24528301886795,6.235863877776731
1,"Undisputed
accusation",Democrat,Change,No,53,Less,81.13207547169814,5.425711362124455
1,"Undisputed
accusation",Democrat,Change,No,53,More,1.886792452830189,1.886792452830189
1,"Undisputed
accusation",Democrat,Change,No,53,Same,16.981132075471702,5.206789873629056
1,"Undisputed
accusation",Democrat,Change + level,Yes,45,Diff,-66.66666666666666,7.784989441615229
1,"Undisputed
accusation",Democrat,Change + level,Yes,45,Less,68.88888888888887,6.979205927323109
1,"Undisputed
accusation",Democrat,Change + level,Yes,45,More,2.222222222222222,2.222222222222222
1,"Undisputed
accusation",Democrat,Change + level,Yes,45,Same,28.888888888888886,6.8329432425405106
1,"Undisputed
accusation",Independent,Change,No,13,Diff,-38.46153846153847,21.299035545943777
1,"Undisputed
accusation",Independent,Change,No,13,Less,53.84615384615387,14.390989949130544
1,"Undisputed
accusation",Independent,Change,No,13,More,15.384615384615385,10.415433852097385
1,"Undisputed
accusation",Independent,Change,No,13,Same,30.76923076923077,13.323467750529824
1,"Undisputed
accusation",Independent,Change + level,Yes,10,Diff,-80,13.333333333333336
1,"Undisputed
accusation",Independent,Change + level,Yes,10,Less,80,13.333333333333336
1,"Undisputed
accusation",Independent,Change + level,Yes,10,More,-0,0
1,"Undisputed
accusation",Independent,Change + level,Yes,10,Same,20,13.333333333333336
1,"Undisputed
accusation",Republican,Change,No,37,Diff,-67.56756756756758,9.53423895879132
1,"Undisputed
accusation",Republican,Change,No,37,Less,72.97297297297298,7.401656182502244
1,"Undisputed
accusation",Republican,Change,No,37,More,5.405405405405405,3.7687388582616026
1,"Undisputed
accusation",Republican,Change,No,37,Same,21.62162162162162,6.861056852129647
1,"Undisputed
accusation",Republican,Change + level,Yes,47,Diff,-53.19148936170214,9.546160228786517
1,"Undisputed
accusation",Republican,Change + level,Yes,47,Less,61.702127659574465,7.16734777251339
1,"Undisputed
accusation",Republican,Change + level,Yes,47,More,8.51063829787234,4.114219418674763
1,"Undisputed
accusation",Republican,Change + level,Yes,47,Same,29.787234042553195,6.742861107915606
2a,Biden / Hill,Democrat,Change,No,332,Diff,-11.74698795180723,3.2826687392834306
2a,Biden / Hill,Democrat,Change,No,332,Less,24.397590361445783,2.360626562263555
2a,Biden / Hill,Democrat,Change,No,332,More,12.650602409638553,1.8271388986048305
2a,Biden / Hill,Democrat,Change,No,332,Same,62.951807228915655,2.654444309200997
2a,Biden / Hill,Independent,Change,No,135,Diff,-11.111111111111112,3.434077374605582
2a,Biden / Hill,Independent,Change,No,135,Less,14.074074074074073,3.0041362609516895
2a,Biden / Hill,Independent,Change,No,135,More,2.9629629629629632,1.4648038602753801
2a,Biden / Hill,Independent,Change,No,135,Same,82.96296296296303,3.2477811859955956
2a,Biden / Hill,Republican,Change,No,355,Diff,-14.366197183098592,2.8443793886397515
2a,Biden / Hill,Republican,Change,No,355,Less,22.535211267605643,2.2206563517220173
2a,Biden / Hill,Republican,Change,No,355,More,8.16901408450704,1.4557198865028849
2a,Biden / Hill,Republican,Change,No,355,Same,69.29577464788727,2.451606806624585
2a,DREAM Act,Democrat,Change,No,332,Diff,42.16867469879518,3.478433948190839
2a,DREAM Act,Democrat,Change,No,332,Less,7.83132530120482,1.4767103086902718
2a,DREAM Act,Democrat,Change,No,332,More,50,2.7482485496465636
2a,DREAM Act,Democrat,Change,No,332,Same,42.16867469879518,2.7143294053829607
2a,DREAM Act,Independent,Change,No,135,Diff,19.259259259259263,5.2041035278175976
2a,DREAM Act,Independent,Change,No,135,Less,10.37037037037037,2.633725661744443
2a,DREAM Act,Independent,Change,No,135,More,29.629629629629633,3.944624162501109
2a,DREAM Act,Independent,Change,No,135,Same,60.00000000000003,4.23207369515159
2a,DREAM Act,Republican,Change,No,355,Diff,-3.098591549295775,3.728034044848067
2a,DREAM Act,Republican,Change,No,355,Less,26.19718309859156,2.3370184222842814
2a,DREAM Act,Republican,Change,No,355,More,23.098591549295776,2.2400528541032716
2a,DREAM Act,Republican,Change,No,355,Same,50.70422535211269,2.6572064185904756
2a,Obama Torture,Democrat,Change,No,332,Diff,35.54216867469879,3.3869284937263364
2a,Obama Torture,Democrat,Change,No,332,Less,7.53012048192771,1.4503977303466218
2a,Obama Torture,Democrat,Change,No,332,More,43.0722891566265,2.721741280244676
2a,Obama Torture,Democrat,Change,No,332,Same,49.39759036144579,2.748049075971858
2a,Obama Torture,Independent,Change,No,135,Diff,11.11111111111111,5.005984993625448
2a,Obama Torture,Independent,Change,No,135,Less,11.851851851851853,2.7922050250639003
