Study,Topic,Party,Format,Y1?,N,category,estimate_pct,se_pct
3,"Mueller
comments",Democrat,Change,No,256,Less,10.15625,1.9197920533495543
3,"Mueller
comments",Democrat,Change,No,256,More,58.20312499999998,3.377483001473099
3,"Mueller
comments",Democrat,Change,No,256,Same,31.640625,3.1042802239337473
3,"Mueller
comments",Democrat,Change + level,Yes,240,Diff,29.16666666666665,4.62313461330102
3,"Mueller
comments",Democrat,Change + level,Yes,240,Less,12.916666666666664,2.243209015756407
3,"Mueller
comments",Democrat,Change + level,Yes,240,More,42.083333333333314,3.3583739357391504
3,"Mueller
comments",Democrat,Change + level,Yes,240,Same,44.99999999999998,3.353796462002998
3,"Mueller
comments",Independent,Change,No,131,Diff,16.793893129770993,6.446539877453028
3,"Mueller
comments",Independent,Change,No,131,Less,16.793893129770993,3.540447180713343
3,"Mueller
comments",Independent,Change,No,131,More,33.587786259541986,4.330005870756015
3,"Mueller
comments",Independent,Change,No,131,Same,49.61832061068702,4.583618414398513
3,"Mueller
comments",Independent,Change + level,Yes,114,Diff,9.649122807017545,5.707072815017211
3,"Mueller
comments",Independent,Change + level,Yes,114,Less,14.035087719298248,3.27236031630044
3,"Mueller
comments",Independent,Change + level,Yes,114,More,23.684210526315795,4.0104907151676885
3,"Mueller
comments",Independent,Change + level,Yes,114,Same,62.28070175438598,4.584111202444792
3,"Mueller
comments",Republican,Change,No,168,Diff,-20.833333333333336,5.521432452034103
3,"Mueller
comments",Republican,Change,No,168,Less,33.33333333333334,3.963779609157181
3,"Mueller
comments",Republican,Change,No,168,More,12.5,2.888208828057767
3,"Mueller
comments",Republican,Change,No,168,Same,54.1666666666667,4.1976638415321945
3,"Mueller
comments",Republican,Change + level,Yes,165,Diff,-14.545454545454545,5.335798211001302
3,"Mueller
comments",Republican,Change + level,Yes,165,Less,27.878787878787882,3.711662775374161
3,"Mueller
comments",Republican,Change + level,Yes,165,More,13.333333333333334,2.9684582798421437
3,"Mueller
comments",Republican,Change + level,Yes,165,Same,58.7878787878788,4.087251850081971
