study,topic,Topic,pid_3,format,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,category,Estimator,value,Party,Format,lab_outside
1,Death penalty,Death penalty,Republican,Counterfactual,(Intercept),NA,0.032800912235873524,2.540579747724022,0.013254865922401694,NA,NA,70.99999999999444,(YC == 1), More,More-less,0.08333333333333334,Republican,Counterfactual,NA
1,Death penalty,Death penalty,Republican,Counterfactual,(Intercept),-0.08333333333333334,0.05850912479161746,-1.424279266355945,0.1587461284247123,-0.19999721467003118,0.033330548003364505,70.99999999999444,YC,  Diff,More-less,-0.08333333333333334,Republican,Counterfactual,-0.08 (0.06)
1,Disputed accusation,Disputed accusation,Democrat,Change,(Intercept),NA,0.046951599766681604,18.48551556528208,1.632188467920228e-24,NA,NA,52.00000000000322,(YC == -1),Less,More-less,0.8679245283018872,Democrat,Change,NA
1,Disputed accusation,Disputed accusation,Democrat,Change,(Intercept),NA,0.04393868070601047,2.5764894473566984,0.012859586155704598,NA,NA,52.00000000000322,(YC == 0), Same,More-less,0.11320754716981135,Democrat,Change,NA
1,Disputed accusation,Disputed accusation,Democrat,Change,(Intercept),NA,0.018867924528301886,1.0000000000000002,0.32194134817283376,NA,NA,52.00000000000322,(YC == 1), More,More-less,0.01886792452830189,Democrat,Change,NA
1,Disputed accusation,Disputed accusation,Democrat,Change,(Intercept),-0.8490566037735852,0.056482695855704056,-15.032154377734804,1.4365130714554498e-20,-0.9623974249537046,-0.7357157825934657,52.00000000000322,YC,  Diff,More-less,-0.8490566037735852,Democrat,Change,-0.85 (0.06)
1,Disputed accusation,Disputed accusation,Democrat,Change + level,(Intercept),NA,0.07195473383945744,8.761547002804525,2.7598546142597017e-11,NA,NA,44.999999999999766,(YC == -1),Less,More-less,0.6304347826086957,Democrat,Change + level,NA
1,Disputed accusation,Disputed accusation,Democrat,Change + level,(Intercept),NA,0.07099970268936748,4.898979485566357,1.2867571244053348e-5,NA,NA,44.999999999999766,(YC == 0), Same,More-less,0.34782608695652173,Democrat,Change + level,NA
1,Disputed accusation,Disputed accusation,Democrat,Change + level,(Intercept),NA,0.02173913043478261,0.9999999999999999,0.32265765224996146,NA,NA,44.999999999999766,(YC == 1), More,More-less,0.021739130434782608,Democrat,Change + level,NA
1,Disputed accusation,Disputed accusation,Democrat,Change + level,(Intercept),-0.6086956521739131,0.07911503805191988,-7.693804707196774,9.653657245583726e-10,-0.768041518425722,-0.4493497859221042,44.999999999999766,YC,  Diff,More-less,-0.6086956521739131,Democrat,Change + level,-0.61 (0.08)
1,Disputed accusation,Disputed accusation,Democrat,Counterfactual,(Intercept),NA,0.04405268024140924,6.1708994482166055,1.387669535575147e-8,NA,NA,102.000000000015,(YC == -1),Less,More-less,0.2718446601941748,Democrat,Counterfactual,NA
1,Disputed accusation,Disputed accusation,Democrat,Counterfactual,(Intercept),NA,0.04689765937278137,14.077337410584025,1.1950540302569407e-25,NA,NA,102.000000000015,(YC == 0), Same,More-less,0.6601941747572817,Democrat,Counterfactual,NA
1,Disputed accusation,Disputed accusation,Democrat,Counterfactual,(Intercept),NA,0.024919959142514478,2.727178028658929,0.007521755587980481,NA,NA,102.000000000015,(YC == 1), More,More-less,0.06796116504854369,Democrat,Counterfactual,NA
1,Disputed accusation,Disputed accusation,Democrat,Counterfactual,(Intercept),-0.20388349514563103,0.05407305748325547,-3.7705190835337286,2.7329783548234263e-4,-0.3111371482796661,-0.09662984201159598,102.000000000015,YC,  Diff,More-less,-0.20388349514563103,Democrat,Counterfactual,-0.20 (0.05)
1,Disputed accusation,Disputed accusation,Republican,Change,(Intercept),NA,0.07150679219093489,3.401680257083045,0.0016541006131734462,NA,NA,35.99999999999888,(YC == -1),Less,More-less,0.24324324324324328,Republican,Change,NA
1,Disputed accusation,Disputed accusation,Republican,Change,(Intercept),NA,0.08256893144064577,6.873863542433759,4.807987422501147e-8,NA,NA,35.99999999999888,(YC == 0), Same,More-less,0.5675675675675675,Republican,Change,NA
1,Disputed accusation,Disputed accusation,Republican,Change,(Intercept),NA,0.06527647182968217,2.898275349237887,0.006351941055514335,NA,NA,35.99999999999888,(YC == 1), More,More-less,0.1891891891891892,Republican,Change,NA
1,Disputed accusation,Disputed accusation,Republican,Change,(Intercept),-0.05405405405405406,0.10922842930614542,-0.4948716593053935,0.6236976319828491,-0.2755795762663651,0.16747146815825695,35.99999999999888,YC,  Diff,More-less,-0.05405405405405406,Republican,Change,-0.05 (0.11)
1,Disputed accusation,Disputed accusation,Republican,Change + level,(Intercept),NA,0.0716734777251339,5.343381339370328,2.753960674884004e-6,NA,NA,45.99999999999854,(YC == -1),Less,More-less,0.3829787234042554,Republican,Change + level,NA
1,Disputed accusation,Disputed accusation,Republican,Change + level,(Intercept),NA,0.07357064625618348,7.229988054812212,4.122022839015251e-9,NA,NA,45.99999999999854,(YC == 0), Same,More-less,0.5319148936170214,Republican,Change + level,NA
1,Disputed accusation,Disputed accusation,Republican,Change + level,(Intercept),NA,0.041142194186747624,2.0685912519011236,0.044231977660239404,NA,NA,45.99999999999854,(YC == 1), More,More-less,0.0851063829787234,Republican,Change + level,NA
1,Disputed accusation,Disputed accusation,Republican,Change + level,(Intercept),-0.29787234042553196,0.09081241717341385,-3.2800838222015387,0.001982962602523786,-0.480668255281132,-0.11507642556993192,45.99999999999854,YC,  Diff,More-less,-0.29787234042553196,Republican,Change + level,-0.30 (0.09)
1,Disputed accusation,Disputed accusation,Republican,Counterfactual,(Intercept),NA,0.058476020433176706,9.604686356149275,1.578856578811684e-14,NA,NA,72.00000000000648,(YC == -1),Less,More-less,0.5616438356164385,Republican,Counterfactual,NA
1,Disputed accusation,Disputed accusation,Republican,Counterfactual,(Intercept),NA,0.05643473559044874,6.311084473689334,2.0035362559193063e-8,NA,NA,72.00000000000648,(YC == 0), Same,More-less,0.3561643835616439,Republican,Counterfactual,NA
1,Disputed accusation,Disputed accusation,Republican,Counterfactual,(Intercept),NA,0.032368600179812385,2.539244217090954,0.013269774780327256,NA,NA,72.00000000000648,(YC == 1), More,More-less,0.08219178082191782,Republican,Counterfactual,NA
1,Disputed accusation,Disputed accusation,Republican,Counterfactual,(Intercept),-0.4794520547945207,0.07582521417997998,-6.3231216684266185,1.9056956659453344e-8,-0.6306068566966436,-0.3282972528923977,72.00000000000648,YC,  Diff,More-less,-0.4794520547945207,Republican,Counterfactual,-0.48 (0.08)
1,Endorsed Trump,Endorsed Trump,Democrat,Change,(Intercept),NA,0.05623975840347624,14.090615832725504,2.164305748348559e-19,NA,NA,52.00000000000322,(YC == -1),Less,More-less,0.7924528301886795,Democrat,Change,NA
1,Endorsed Trump,Endorsed Trump,Democrat,Change,(Intercept),NA,0.0496447935456809,3.040467800264368,0.0036939969176518783,NA,NA,52.00000000000322,(YC == 0), Same,More-less,0.15094339622641512,Democrat,Change,NA
1,Endorsed Trump,Endorsed Trump,Democrat,Change,(Intercept),NA,0.0320455764380546,1.7663521732655698,0.0832063817446932,NA,NA,52.00000000000322,(YC == 1), More,More-less,0.056603773584905676,Democrat,Change,NA
1,Endorsed Trump,Endorsed Trump,Democrat,Change,(Intercept),-0.7358490566037739,0.07690938345133104,-9.567740938521837,4.674452972327379e-13,-0.8901790251856514,-0.5815190880218963,52.00000000000322,YC,  Diff,More-less,-0.7358490566037739,Democrat,Change,-0.74 (0.08)
1,Endorsed Trump,Endorsed Trump,Democrat,Change + level,(Intercept),NA,0.06358669845936321,11.965860528261983,1.4082867432897425e-15,NA,NA,44.999999999999766,(YC == -1),Less,More-less,0.7608695652173912,Democrat,Change + level,NA
1,Endorsed Trump,Endorsed Trump,Democrat,Change + level,(Intercept),NA,0.06148754619013458,3.535533905932737,9.558775168378052e-4,NA,NA,44.999999999999766,(YC == 0), Same,More-less,0.21739130434782608,Democrat,Change + level,NA
1,Endorsed Trump,Endorsed Trump,Democrat,Change + level,(Intercept),NA,0.02173913043478261,0.9999999999999999,0.32265765224996146,NA,NA,44.999999999999766,(YC == 1), More,More-less,0.021739130434782608,Democrat,Change + level,NA
1,Endorsed Trump,Endorsed Trump,Democrat,Change + level,(Intercept),-0.7391304347826086,0.07246376811594202,-10.200000000000001,2.7862973738187745e-13,-0.8850799557160033,-0.593180913849214,44.999999999999766,YC,  Diff,More-less,-0.7391304347826086,Democrat,Change + level,-0.74 (0.07)
1,Endorsed Trump,Endorsed Trump,Democrat,Counterfactual,(Intercept),NA,0.04950504382128919,10.001922892047386,8.063450015787417e-17,NA,NA,102.000000000015,(YC == -1),Less,More-less,0.4951456310679613,Democrat,Counterfactual,NA
1,Endorsed Trump,Endorsed Trump,Democrat,Counterfactual,(Intercept),NA,0.04865777570410771,8.380304779464844,3.038239871578022e-13,NA,NA,102.000000000015,(YC == 0), Same,More-less,0.4077669902912622,Democrat,Counterfactual,NA
1,Endorsed Trump,Endorsed Trump,Democrat,Counterfactual,(Intercept),NA,0.029315962918813485,3.311758133602734,0.0012830841230167958,NA,NA,102.000000000015,(YC == 1), More,More-less,0.0970873786407767,Democrat,Counterfactual,NA
1,Endorsed Trump,Endorsed Trump,Democrat,Counterfactual,(Intercept),-0.39805825242718446,0.06521327284179781,-6.103945333227515,1.8873714186600375e-8,-0.5274084699042576,-0.2687080349501113,102.000000000015,YC,  Diff,More-less,-0.39805825242718446,Democrat,Counterfactual,-0.40 (0.07)
1,Endorsed Trump,Endorsed Trump,Republican,Change,(Intercept),NA,0.03768738858261602,1.4342743312012722,0.16012407999051023,NA,NA,35.99999999999888,(YC == -1),Less,More-less,0.05405405405405406,Republican,Change,NA
1,Endorsed Trump,Endorsed Trump,Republican,Change,(Intercept),NA,0.079565413210160807,4.415880433163922,8.810089875722771e-5,NA,NA,35.99999999999888,(YC == 0), Same,More-less,0.35135135135135137,Republican,Change,NA
1,Endorsed Trump,Endorsed Trump,Republican,Change,(Intercept),NA,0.08182838794858087,7.266360849833979,1.4729469700102871e-8,NA,NA,35.99999999999888,(YC == 1), More,More-less,0.5945945945945946,Republican,Change,NA
1,Endorsed Trump,Endorsed Trump,Republican,Change,(Intercept),0.5405405405405406,0.09950775691159695,5.432144762551111,3.990769194921599e-6,0.33872945569710955,0.7423516253839716,35.99999999999888,YC,  Diff,More-less,0.5405405405405406,Republican,Change,0.54 (0.10)
1,Endorsed Trump,Endorsed Trump,Republican,Change + level,(Intercept),NA,0.062426763436828826,3.7490739597339977,4.947643601247731e-4,NA,NA,45.99999999999854,(YC == -1),Less,More-less,0.2340425531914894,Republican,Change + level,NA
1,Endorsed Trump,Endorsed Trump,Republican,Change + level,(Intercept),NA,0.07330262843906579,6.095395487894627,2.0830180880127999e-7,NA,NA,45.99999999999854,(YC == 0), Same,More-less,0.44680851063829796,Republican,Change + level,NA
1,Endorsed Trump,Endorsed Trump,Republican,Change + level,(Intercept),NA,0.06872960451806369,4.643543905251677,2.876201546865802e-5,NA,NA,45.99999999999854,(YC == 1), More,More-less,0.3191489361702128,Republican,Change + level,NA
1,Endorsed Trump,Endorsed Trump,Republican,Change + level,(Intercept),0.08510638297872344,0.1089423853453683,0.7812054299060907,0.438683876540663,-0.13418326501875308,0.30439603097619994,45.99999999999854,YC,  Diff,More-less,0.08510638297872344,Republican,Change + level,0.09 (0.11)
1,Endorsed Trump,Endorsed Trump,Republican,Counterfactual,(Intercept),NA,0.047617930626973094,4.315169713368457,4.9982343318745805e-5,NA,NA,72.00000000000648,(YC == -1),Less,More-less,0.20547945205479456,Republican,Counterfactual,NA
1,Endorsed Trump,Endorsed Trump,Republican,Counterfactual,(Intercept),NA,0.05689468399258956,11.075498483890769,3.2971600318883793e-17,NA,NA,72.00000000000648,(YC == 0), Same,More-less,0.63013698630137,Republican,Counterfactual,NA
