study,Topic,Party,Estimator,Format,category,share,estimate,std.error,conf.low,conf.high,label
2a,Senator supported Kavanaugh,Democrat,More-less,Change, More,0.03157894736842106,NA,0.018037112288197883,NA,NA,NA
2a,Senator supported Kavanaugh,Democrat,More-less,Change, Same,0.2526315789473685,NA,0.04481746243373484,NA,NA,NA
2a,Senator supported Kavanaugh,Democrat,More-less,Change,Less,0.7157894736842105,NA,0.046520974798961945,NA,NA,NA
2a,Senator supported Kavanaugh,Democrat,CATE,Counterfactual,NA,NA,-0.029126213592233004,0.08990160100912409,-0.20744561293104238,0.1491931857465764,-0.03 (0.09)
2a,Senator supported Kavanaugh,Republican,More-less,Counterfactual,  Diff,-0.022727272727272728,-0.022727272727272728,0.03946482883093791,-0.10079811806476369,0.05534357261021824,-0.02 (0.04)
2a,Senator supported Kavanaugh,Republican,More-less,Counterfactual, More,0.09090909090909091,NA,0.025117225636160805,NA,NA,NA
2a,Senator supported Kavanaugh,Republican,More-less,Counterfactual, Same,0.7954545454545455,NA,0.035242519813803344,NA,NA,NA
2a,Senator supported Kavanaugh,Republican,More-less,Counterfactual,Less,0.11363636363636363,NA,0.02772866630552145,NA,NA,NA
2a,Senator supported Kavanaugh,Republican,More-less,Change,  Diff,0.4076923076923077,0.4076923076923077,0.05951118097834684,0.2899479786097948,0.5254366367748206,0.41 (0.06)
2a,Senator supported Kavanaugh,Republican,More-less,Change, More,0.5153846153846154,NA,0.04400170130691367,NA,NA,NA
2a,Senator supported Kavanaugh,Republican,More-less,Change, Same,0.3769230769230769,NA,0.04266800546039562,NA,NA,NA
2a,Senator supported Kavanaugh,Republican,More-less,Change,Less,0.10769230769230771,NA,0.027293221828873577,NA,NA,NA
2a,Senator supported Kavanaugh,Republican,CATE,Counterfactual,NA,NA,-0.03787878787878788,0.0740467238053369,-0.18436087061425208,0.10860329485667633,-0.04 (0.07)
