study,Topic,Party,Estimator,Format,category,share,estimate,std.error,conf.low,conf.high,label
1,Death penalty,Democrat,More-less,Change + level,Less,0.20000000000000004,NA,0.06030226891555272,NA,NA,NA
1,Death penalty,Democrat,More-less,Change,  Diff,-0.25,-0.25,0.08629721694870586,-0.4232488921696468,-0.07675110783035324,-0.25 (0.09)
1,Death penalty,Democrat,More-less,Change, More,0.09615384615384616,NA,0.041280552327507575,NA,NA,NA
1,Death penalty,Democrat,More-less,Change, Same,0.5576923076923077,NA,0.06954637296657958,NA,NA,NA
1,Death penalty,Democrat,More-less,Change,Less,0.3461538461538462,NA,0.06661733875264912,NA,NA,NA
1,Death penalty,Democrat,CATE,Diff. in means,NA,NA,0.8529759558533704,0.3851428900891421,0.08886343135466579,1.6170884803520749,0.85 (0.39)
1,Death penalty,Democrat,CATE,Counterfactual,NA,NA,0.05882352941176471,0.09328401928041616,-0.12622687171510527,0.2438739305386347,0.06 (0.09)
1,Death penalty,Republican,More-less,Counterfactual,  Diff,-0.08333333333333334,-0.08333333333333334,0.05850912479161746,-0.19999721467003118,0.033330548003364505,-0.08 (0.06)
1,Death penalty,Republican,More-less,Counterfactual, More,0.08333333333333334,NA,0.032800912235873524,NA,NA,NA
1,Death penalty,Republican,More-less,Counterfactual, Same,0.7500000000000002,NA,0.051389153237064875,NA,NA,NA
1,Death penalty,Republican,More-less,Counterfactual,Less,0.16666666666666669,NA,0.0442287410361896,NA,NA,NA
1,Death penalty,Republican,More-less,Change + level,  Diff,0.19148936170212766,0.19148936170212766,0.08405923791336553,0.02228689165779285,0.36069183174646247,0.19 (0.08)
1,Death penalty,Republican,More-less,Change + level, More,0.2765957446808511,NA,0.0659529705144534,NA,NA,NA
1,Death penalty,Republican,More-less,Change + level, Same,0.6382978723404256,NA,0.07084485475872634,NA,NA,NA
1,Death penalty,Republican,More-less,Change + level,Less,0.08510638297872344,NA,0.04114219418674762,NA,NA,NA
1,Death penalty,Republican,More-less,Change,  Diff,0.1621621621621622,0.1621621621621622,0.09098653097623496,-0.022367075480762083,0.34669139980508645,0.16 (0.09)
1,Death penalty,Republican,More-less,Change, More,0.24324324324324326,NA,0.07150679219093489,NA,NA,NA
1,Death penalty,Republican,More-less,Change, Same,0.6756756756756758,NA,0.07802030664724674,NA,NA,NA
1,Death penalty,Republican,More-less,Change,Less,0.08108108108108109,NA,0.04549326548811747,NA,NA,NA
1,Death penalty,Republican,CATE,Diff. in means,NA,NA,-0.3154996066089692,0.3953725338621082,-1.1040452611185678,0.4730460479006294,-0.32 (0.40)
1,Death penalty,Republican,CATE,Counterfactual,NA,NA,-0.22222222222222227,0.12852574171785397,-0.478495272517977,0.03405082807353249,-0.22 (0.13)
1,Disputed accusation,Democrat,More-less,Counterfactual,  Diff,-0.20388349514563103,-0.20388349514563103,0.05407305748325547,-0.3111371482796661,-0.09662984201159598,-0.20 (0.05)
1,Disputed accusation,Democrat,More-less,Counterfactual, More,0.06796116504854369,NA,0.024919959142514478,NA,NA,NA
1,Disputed accusation,Democrat,More-less,Counterfactual, Same,0.6601941747572817,NA,0.04689765937278137,NA,NA,NA
1,Disputed accusation,Democrat,More-less,Counterfactual,Less,0.2718446601941748,NA,0.04405268024140924,NA,NA,NA
1,Disputed accusation,Democrat,More-less,Change + level,  Diff,-0.6086956521739131,-0.6086956521739131,0.07911503805191988,-0.768041518425722,-0.4493497859221042,-0.61 (0.08)
1,Disputed accusation,Democrat,More-less,Change + level, More,0.021739130434782608,NA,0.02173913043478261,NA,NA,NA
1,Disputed accusation,Democrat,More-less,Change + level, Same,0.34782608695652173,NA,0.07099970268936748,NA,NA,NA
1,Disputed accusation,Democrat,More-less,Change + level,Less,0.6304347826086957,NA,0.07195473383945744,NA,NA,NA
1,Disputed accusation,Democrat,More-less,Change,  Diff,-0.8490566037735852,-0.8490566037735852,0.056482695855704056,-0.9623974249537046,-0.7357157825934657,-0.85 (0.06)
1,Disputed accusation,Democrat,More-less,Change, More,0.01886792452830189,NA,0.018867924528301886,NA,NA,NA
1,Disputed accusation,Democrat,More-less,Change, Same,0.11320754716981135,NA,0.04393868070601047,NA,NA,NA
1,Disputed accusation,Democrat,More-less,Change,Less,0.8679245283018872,NA,0.046951599766681604,NA,NA,NA
1,Disputed accusation,Democrat,CATE,Diff. in means,NA,NA,0.020801232665639706,0.31859922512225264,-0.6112139277270053,0.6528163930582848,0.02 (0.32)
1,Disputed accusation,Democrat,CATE,Counterfactual,NA,NA,-0.4854368932038836,0.11112158390543299,-0.7058460280043071,-0.26502775840346016,-0.49 (0.11)
1,Disputed accusation,Republican,More-less,Counterfactual,  Diff,-0.4794520547945207,-0.4794520547945207,0.07582521417997998,-0.6306068566966436,-0.3282972528923977,-0.48 (0.08)
1,Disputed accusation,Republican,More-less,Counterfactual, More,0.08219178082191782,NA,0.032368600179812385,NA,NA,NA
1,Disputed accusation,Republican,More-less,Counterfactual, Same,0.3561643835616439,NA,0.05643473559044874,NA,NA,NA
1,Disputed accusation,Republican,More-less,Counterfactual,Less,0.5616438356164385,NA,0.058476020433176706,NA,NA,NA
1,Disputed accusation,Republican,More-less,Change + level,  Diff,-0.29787234042553196,-0.29787234042553196,0.09081241717341385,-0.480668255281132,-0.11507642556993192,-0.30 (0.09)
1,Disputed accusation,Republican,More-less,Change + level, More,0.0851063829787234,NA,0.041142194186747624,NA,NA,NA
1,Disputed accusation,Republican,More-less,Change + level, Same,0.5319148936170214,NA,0.07357064625618348,NA,NA,NA
1,Disputed accusation,Republican,More-less,Change + level,Less,0.3829787234042554,NA,0.0716734777251339,NA,NA,NA
1,Disputed accusation,Republican,More-less,Change,  Diff,-0.05405405405405406,-0.05405405405405406,0.10922842930614542,-0.2755795762663651,0.16747146815825695,-0.05 (0.11)
1,Disputed accusation,Republican,More-less,Change, More,0.1891891891891892,NA,0.06527647182968217,NA,NA,NA
1,Disputed accusation,Republican,More-less,Change, Same,0.5675675675675675,NA,0.08256893144064577,NA,NA,NA
1,Disputed accusation,Republican,More-less,Change,Less,0.24324324324324328,NA,0.07150679219093489,NA,NA,NA
1,Disputed accusation,Republican,CATE,Diff. in means,NA,NA,-2.0130568356374803,0.3263180509166467,-2.6637165490710393,-1.3623971222039215,-2.01 (0.33)
1,Disputed accusation,Republican,CATE,Counterfactual,NA,NA,-1.0684931506849313,0.16930420677134625,-1.4059949185661984,-0.7309913828036644,-1.07 (0.17)
1,Endorsed Trump,Democrat,More-less,Counterfactual,  Diff,-0.39805825242718446,-0.39805825242718446,0.06521327284179781,-0.5274084699042576,-0.2687080349501113,-0.40 (0.07)
1,Endorsed Trump,Democrat,More-less,Counterfactual, More,0.0970873786407767,NA,0.029315962918813485,NA,NA,NA
1,Endorsed Trump,Democrat,More-less,Counterfactual, Same,0.4077669902912622,NA,0.04865777570410771,NA,NA,NA
1,Endorsed Trump,Democrat,More-less,Counterfactual,Less,0.4951456310679613,NA,0.04950504382128919,NA,NA,NA
1,Endorsed Trump,Democrat,More-less,Change + level,  Diff,-0.7391304347826086,-0.7391304347826086,0.07246376811594202,-0.8850799557160033,-0.593180913849214,-0.74 (0.07)
1,Endorsed Trump,Democrat,More-less,Change + level, More,0.021739130434782608,NA,0.02173913043478261,NA,NA,NA
1,Endorsed Trump,Democrat,More-less,Change + level, Same,0.21739130434782608,NA,0.06148754619013458,NA,NA,NA
1,Endorsed Trump,Democrat,More-less,Change + level,Less,0.7608695652173912,NA,0.06358669845936321,NA,NA,NA
1,Endorsed Trump,Democrat,More-less,Change,  Diff,-0.7358490566037739,-0.7358490566037739,0.07690938345133104,-0.8901790251856514,-0.5815190880218963,-0.74 (0.08)
1,Endorsed Trump,Democrat,More-less,Change, More,0.056603773584905676,NA,0.0320455764380546,NA,NA,NA
1,Endorsed Trump,Democrat,More-less,Change, Same,0.15094339622641512,NA,0.0496447935456809,NA,NA,NA
1,Endorsed Trump,Democrat,More-less,Change,Less,0.7924528301886795,NA,0.05623975840347624,NA,NA,NA
1,Endorsed Trump,Democrat,CATE,Diff. in means,NA,NA,-0.41024653312788856,0.38691456420587794,-1.177780949638146,0.3572878833823688,-0.41 (0.39)
1,Endorsed Trump,Democrat,CATE,Counterfactual,NA,NA,-0.883495145631068,0.16167136447774902,-1.2041695305180742,-0.5628207607440617,-0.88 (0.16)
1,Endorsed Trump,Republican,More-less,Counterfactual,  Diff,-0.04109589041095891,-0.04109589041095891,0.07150894869116814,-0.18364637431709552,0.10145459349517771,-0.04 (0.07)
1,Endorsed Trump,Republican,More-less,Counterfactual, More,0.16438356164383564,NA,0.04367837093540866,NA,NA,NA
1,Endorsed Trump,Republican,More-less,Counterfactual, Same,0.63013698630137,NA,0.05689468399258956,NA,NA,NA
1,Endorsed Trump,Republican,More-less,Counterfactual,Less,0.20547945205479456,NA,0.047617930626973094,NA,NA,NA
1,Endorsed Trump,Republican,More-less,Change + level,  Diff,0.08510638297872344,0.08510638297872344,0.1089423853453683,-0.13418326501875308,0.30439603097619994,0.09 (0.11)
1,Endorsed Trump,Republican,More-less,Change + level, More,0.3191489361702128,NA,0.06872960451806369,NA,NA,NA
1,Endorsed Trump,Republican,More-less,Change + level, Same,0.44680851063829796,NA,0.07330262843906579,NA,NA,NA
1,Endorsed Trump,Republican,More-less,Change + level,Less,0.2340425531914894,NA,0.062426763436828826,NA,NA,NA
1,Endorsed Trump,Republican,More-less,Change,  Diff,0.5405405405405406,0.5405405405405406,0.09950775691159695,0.33872945569710955,0.7423516253839716,0.54 (0.10)
1,Endorsed Trump,Republican,More-less,Change, More,0.5945945945945946,NA,0.08182838794858087,NA,NA,NA
1,Endorsed Trump,Republican,More-less,Change, Same,0.35135135135135137,NA,0.079565413210160807,NA,NA,NA
1,Endorsed Trump,Republican,More-less,Change,Less,0.05405405405405406,NA,0.03768738858261602,NA,NA,NA
1,Endorsed Trump,Republican,CATE,Diff. in means,NA,NA,-0.966205837173579,0.2556969445677739,-1.4760510639728823,-0.45636061037427567,-0.97 (0.26)
