Study,Topic,Outcome,Party,N,quantity,estimate,std.error,p.value
1,Disputed accusation,Y0,Republican,73,Difference,-0.8463901689708135,0.31499915744744317,0.008974228842146516
1,Disputed accusation,Y0,Republican,73,Guess,4.476190476190476,0.2486621467505488,NA
1,Disputed accusation,Y1,Democrat,103,Actual,2.681818181818182,0.2406227106318203,NA
1,Disputed accusation,Y1,Democrat,103,Difference,0.5462249614791986,0.3110316447433234,0.08209031527173809
1,Disputed accusation,Y1,Democrat,103,Guess,2.135593220338983,0.197082204067065,NA
1,Disputed accusation,Y1,Republican,73,Actual,3.3095238095238084,0.2628533134431287,NA
1,Disputed accusation,Y1,Republican,73,Difference,-1.077572964669739,0.3956895065341423,0.0081289044871503
1,Disputed accusation,Y1,Republican,73,Guess,4.387096774193549,0.29576734301339214,NA
1,Endorsed Trump,Y0,Democrat,103,Actual,3.7966101694915264,0.23535995414878774,NA
1,Endorsed Trump,Y0,Democrat,103,Difference,-0.023882896764252128,0.36678514738483653,0.9482118358007415
1,Endorsed Trump,Y0,Democrat,103,Guess,3.772727272727273,0.28131305750924007,NA
1,Endorsed Trump,Y0,Republican,73,Actual,5.870967741935484,0.12041090476704877,NA
1,Endorsed Trump,Y0,Republican,73,Difference,-0.8471582181259598,0.27043980606112156,0.00251803996508115
1,Endorsed Trump,Y0,Republican,73,Guess,5.023809523809524,0.24215470822504725,NA
1,Endorsed Trump,Y1,Democrat,103,Actual,3.3863636363636362,0.3070970074385375,NA
1,Endorsed Trump,Y1,Democrat,103,Difference,0.8439907550077039,0.3812404011321228,0.029091582377821595
1,Endorsed Trump,Y1,Democrat,103,Guess,2.5423728813559325,0.22591075998649746,NA
1,Endorsed Trump,Y1,Republican,73,Actual,4.904761904761904,0.22557070172005048,NA
1,Endorsed Trump,Y1,Republican,73,Difference,-0.9339477726574502,0.2960564098355035,0.0023567407395613882
1,Endorsed Trump,Y1,Republican,73,Guess,5.838709677419356,0.19174789785082805,NA
1,Immigration,Y0,Democrat,102,Actual,4.898305084745764,0.19445095005663884,NA
1,Immigration,Y0,Democrat,102,Difference,-0.5727236893969253,0.33088427871542686,0.08655611495085605
1,Immigration,Y0,Democrat,102,Guess,4.325581395348838,0.2677185722416335,NA
1,Immigration,Y0,Republican,72,Actual,2.67741935483871,0.3258969319694234,NA
1,Immigration,Y0,Republican,72,Difference,0.44453186467348554,0.40165260194180075,0.2721878858421652
1,Immigration,Y0,Republican,72,Guess,3.1219512195121952,0.23476797562601248,NA
1,Immigration,Y1,Democrat,102,Actual,4.395348837209304,0.2706367023842698,NA
1,Immigration,Y1,Democrat,102,Difference,-0.40126133228222305,0.33244619576721085,0.23028092722819524
1,Immigration,Y1,Democrat,102,Guess,4.796610169491526,0.19307057881163245,NA
1,Immigration,Y1,Republican,72,Actual,3.048780487804878,0.24681191493997107,NA
1,Immigration,Y1,Republican,72,Difference,0.24232887490165225,0.3844989793165854,0.5305858597061444
1,Immigration,Y1,Republican,72,Guess,2.806451612903226,0.29482765090669605,NA
1,Supports charters,Y0,Democrat,103,Actual,2.6271186440677967,0.21744263716816778,NA
1,Supports charters,Y0,Democrat,103,Difference,0.12288135593220365,0.3690641702596305,0.7398592178087582
1,Supports charters,Y0,Democrat,103,Guess,2.75,0.29820640722624026,NA
1,Supports charters,Y0,Republican,73,Actual,5.580645161290322,0.23081992025804285,NA
1,Supports charters,Y0,Republican,73,Difference,-0.9615975422427031,0.33707182999413626,0.00567323134185706
1,Supports charters,Y0,Republican,73,Guess,4.619047619047619,0.24564116712730913,NA
1,Supports charters,Y1,Democrat,103,Actual,2.6363636363636362,0.29096854572147424,NA
1,Supports charters,Y1,Democrat,103,Difference,0.026194144838212967,0.36892344972157404,0.9435369052583377
