Study,Topic,Outcome,Party,N,quantity,estimate,std.error,p.value
2b,Trump Coal,Y0,Democrat,196,Guess,0.6534653465346536,0.0475865934285066,NA
2b,Trump Coal,Y0,Republican,210,Actual,0.6181818181818183,0.04653429807913509,NA
2b,Trump Coal,Y0,Republican,210,Difference,0.11181818181818164,0.06446976026500238,0.084323582073735
2b,Trump Coal,Y0,Republican,210,Guess,0.73,0.04461960433384737,NA
2b,Trump Coal,Y1,Democrat,196,Actual,0.5784313725490194,0.049135952012745024,NA
2b,Trump Coal,Y1,Democrat,196,Difference,-0.19816437213183163,0.06542077040066464,0.002786969457792239
2b,Trump Coal,Y1,Democrat,196,Guess,0.776595744680851,0.04319184436462157,NA
2b,Trump Coal,Y1,Republican,210,Actual,0.68,0.04688261722621507,NA
2b,Trump Coal,Y1,Republican,210,Difference,0.01636363636363636,0.06516055952894642,0.8019631180711259
2b,Trump Coal,Y1,Republican,210,Guess,0.6636363636363638,0.0452539359630251,NA
